SiteOG,Site,Line,OutplantingDate,SamplingDate,DaysOnFarm,Length,Width,Weight,C_mg,N_mg,Notes
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,19.4,2.4,0.04901749,90.62554019,3.697535751,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,24.8,2.5,0.075927882,129.3559432,5.217177505,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,49,4.5,0.255515826,346.992447,13.55405553,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,49.2,4.1,0.257377278,349.0465385,13.63168151,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,55,4.4,0.313916905,410.2149073,15.93686329,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,37.5,5,0.158639784,235.5034147,9.315500508,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,67.3,5.2,0.449791491,549.5658396,21.14907983,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,53.1,6.2,0.294853866,389.8413144,15.17039452,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,55.5,7,0.319020423,415.6295664,16.14035635,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,43.8,6.3,0.209216174,294.9319945,11.58139994,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,33.7,4.7,0.131136888,201.7258843,8.019577294,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,44.6,5.2,0.216074297,302.7694918,11.87905323,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,45,5.5,0.219539712,306.7120467,12.02868912,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,35.1,4.6,0.14100213,213.9813452,8.490532599,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,29.1,3.7,0.100959153,163.0823056,6.528183103,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,56.3,4.8,0.327261073,424.3386259,16.4674793,
Wickford,Narragansett Bay N,1,12/19/18,3/13/19,85,59.8,6.5,0.364392895,463.0905484,17.92047086,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,61.6,3.8,0.384168029,483.4241625,18.68127506,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,74.6,6.1,0.540392087,638.0055587,24.43397879,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,38.8,4.1,0.168572422,247.4247112,9.771391989,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,61.6,3.7,0.384168029,483.4241625,18.68127506,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,50.7,4.4,0.27152672,364.5712646,14.21790197,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,42.7,3.4,0.199945145,284.2600922,11.17568719,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,46.8,4.7,0.235432547,324.6475597,12.70863898,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,47.7,5.3,0.243561221,333.7329081,13.05260285,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,27.5,4.2,0.091280761,150.2515549,6.030575976,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,56,4.2,0.324160023,421.0661726,16.34458772,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,56.8,4.9,0.332458258,429.8101231,16.67288379,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,35.7,3.6,0.145325944,219.301775,8.694711886,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,35,3.4,0.14028707,213.0985516,8.45663828,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,47.5,4.2,0.241744389,331.7072333,12.97593906,
Rome Pt.,Narragansett Bay S,1,12/20/18,3/13/19,84,66.8,5.6,0.443853907,543.659518,20.92911946,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,7.4,1.6,0.008799527,22.4255273,0.957364298,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,7,1.2,0.007969904,20.69059413,0.885608566,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,7.4,1.2,0.008799527,22.4255273,0.957364298,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,7,1.2,0.007969904,20.69059413,0.885608566,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,5.4,1.2,0.005018964,14.20575955,0.615503331,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,6,1.2,0.006055555,16.54882119,0.713480995,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,6.2,1.2,0.006419931,17.35407459,0.747046276,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,4.6,1.4,0.003771576,11.26061213,0.491587506,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,6,1.4,0.006055555,16.54882119,0.713480995,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,7.8,1.4,0.00966498,24.2030992,1.030696947,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,5.8,1.2,0.005700554,15.75553172,0.680362555,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,2.6,1.2,0.001364492,4.926316187,0.220905735,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,3.6,1.2,0.002436798,7.89420182,0.348618526,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,4,1,0.002940081,9.19625127,0.404112668,
Wickford,Narragansett Bay N,2,2/11/19,3/13/19,31,4.8,1,0.004068743,11.97690086,0.521812612,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,4.4,0.8,0.003484344,10.55817436,0.461886224,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,5.8,0.6,0.005700554,15.75553172,0.680362555,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,3.4,1,0.002200816,7.266727128,0.321771665,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,3.4,0.8,0.002200816,7.266727128,0.321771665,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2.2,0.6,0.001013178,3.867197623,0.174779686,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,3,0.6,0.001760834,6.061423099,0.269984204,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2.6,0.6,0.001364492,4.926316187,0.220905735,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2,0.4,0.000854917,3.368358945,0.15291793,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2,0.6,0.000854917,3.368358945,0.15291793,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2,0.6,0.000854917,3.368358945,0.15291793,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2,0.8,0.000854917,3.368358945,0.15291793,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2,0.6,0.000854917,3.368358945,0.15291793,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2,0.6,0.000854917,3.368358945,0.15291793,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2.2,0.6,0.001013178,3.867197623,0.174779686,
Rome Pt.,Narragansett Bay S,2,2/21/19,3/13/19,21,2.2,0.6,0.001013178,3.867197623,0.174779686,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,47.8,2.9,0.244471874,334.7471775,13.09098326,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,54.4,2.8,0.307840411,403.7464412,15.69365185,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,81,4.1,0.62576129,718.8208968,27.42270887,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,55.7,2.2,0.321071937,417.8015813,16.22196052,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,63.1,3.1,0.400996617,500.5741783,19.32215307,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,50.2,6.1,0.266773333,359.373118,14.02170959,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,45.7,5.8,0.225662325,313.6494104,12.29183916,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,56.5,4,0.329335635,426.5246178,16.54955347,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,48.9,5.9,0.254587325,345.966811,13.51529025,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,40,6,0.17797512,258.5894658,10.19770547,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,69.5,6.8,0.476327124,575.7870374,22.12468278,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,40.2,3,0.179563978,260.4650476,10.26926315,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,66.9,3.3,0.445038653,544.8391996,20.97305876,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,47.9,2.3,0.245384019,335.7624,13.12939597,
Dredge,Point Judith Pond S,1,12/12/18,3/14/19,93,60.7,3.4,0.37422314,473.2235127,18.29973924,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,38.3,3.4,0.164720862,242.8180265,9.595310605,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,22.7,1.8,0.064852462,113.7908571,4.608532009,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,38,4.4,0.162428697,240.0669269,9.49010372,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,38,2.4,0.162428697,240.0669269,9.49010372,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,24,2.1,0.071618434,123.3536461,4.982766287,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,77,4.8,0.57176144,667.9607787,25.54314409,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,47.8,3,0.244471874,334.7471775,13.09098326,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,51.3,5.4,0.277279355,370.8394802,14.45436118,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,54.5,3.7,0.308849539,404.822305,15.73411256,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,67.8,6.7,0.455763672,555.4918967,21.36969813,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,18.5,2.1,0.045038966,84.59754031,3.459307112,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,13,1.8,0.024017923,50.73758818,2.109419403,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,17.4,1.5,0.040378218,77.40727202,3.174420116,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,15.6,2,0.033238118,66.07899735,2.72379892,
Sled,Point Judith Pond N,1,12/12/18,3/14/19,93,16.1,2.2,0.035160262,69.16981211,2.84697881,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,8.8,2.2,0.01198275,28.82579499,1.220616012,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,10.4,2.8,0.016137706,36.72038367,1.542748377,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,10.6,2.6,0.016694885,37.74801338,1.584503415,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,6,1.4,0.006055555,16.54882119,0.713480995,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,7,2.2,0.007969904,20.69059413,0.885608566,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,7,1.8,0.007969904,20.69059413,0.885608566,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,6.2,1.8,0.006419931,17.35407459,0.747046276,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,4.4,1.2,0.003484344,10.55817436,0.461886224,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,7.8,1.6,0.00966498,24.2030992,1.030696947,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,5.4,1.8,0.005018964,14.20575955,0.615503331,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,11.6,2.2,0.019604354,43.01555473,1.797978348,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,5.4,1.2,0.005018964,14.20575955,0.615503331,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,5,1.6,0.004375754,12.70671935,0.552548371,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,6,1.4,0.006055555,16.54882119,0.713480995,
Sled,Point Judith Pond N,2,2/6/19,3/14/19,37,7,1.7,0.007969904,20.69059413,0.885608566,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,9.2,2.8,0.012970547,30.74358177,1.299106903,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,7.8,3,0.00966498,24.2030992,1.030696947,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,17,3.4,0.038738997,74.84217303,3.072583856,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,16.2,3.2,0.035550372,69.79320749,2.871801427,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,11.8,3.4,0.020210736,44.09434849,1.841589927,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,19,3,0.047231018,87.93056614,3.591095089,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,11.2,2.6,0.018415983,40.88300561,1.71166206,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,7.6,2,0.009227801,23.30906199,0.99383666,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,7.2,1.8,0.00838021,21.55265062,0.921286095,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,9,2.4,0.012472357,29.7799043,1.259686151,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,7.6,2,0.009227801,23.30906199,0.99383666,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,10.2,2.6,0.015588843,35.70158936,1.501314909,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,8,2.4,0.010111015,25.10748967,1.067939176,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,8.8,2.6,0.01198275,28.82579499,1.220616012,
Dredge,Point Judith Pond S,2,2/6/19,3/14/19,37,9.8,2.6,0.014516211,33.69089012,1.419427826,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,33.1,5,0.127005309,196.5425854,7.820116154,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,36,3.5,0.147509315,221.9771265,8.797321479,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,34.8,4,0.13886174,211.3363615,8.388966431,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,35.4,5.8,0.143156873,216.6364989,8.592448343,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,31.5,3.5,0.116272711,182.9270345,7.295343626,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,51.4,8.3,0.27824327,371.8873973,14.4938796,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,44.3,5.9,0.213491127,299.8229693,11.76717956,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,59.9,5.6,0.365479471,464.2130735,17.96249919,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,45.8,5.4,0.226543013,314.6443801,12.32956506,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,29.3,6.1,0.102198963,164.7089063,6.59117375,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,53.1,6.6,0.294853866,389.8413144,15.17039452,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,33.8,5.8,0.131831123,202.5938232,8.052960526,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,39.3,5.2,0.172462992,252.0581283,9.948387935,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,42.9,7.7,0.201617064,286.1913597,11.2491441,
Dredge,Point Judith Pond S,1,12/12/18,4/14/19,124,30.2,5.5,0.107860086,172.0901297,6.876763529,
Dredge,Point Judith Pond S,1,12/12/18,4/11/19,124,83.9,4.7,0.666242303,756.4095142,28.80902932,
Dredge,Point Judith Pond S,1,12/12/18,4/11/19,124,74.9,5.4,0.544270743,641.7266206,24.57185053,
Dredge,Point Judith Pond S,1,12/12/18,4/11/19,124,36.1,3.1,0.148240279,222.8711414,8.831601277,
Dredge,Point Judith Pond S,1,12/12/18,4/11/19,124,39.3,4.1,0.172462992,252.0581283,9.948387935,
Dredge,Point Judith Pond S,1,12/12/18,4/11/19,124,32.2,2.7,0.120917053,188.8465519,7.523644883,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,124.1,8.8,1.338411641,1333.832248,49.87494091,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,126.4,5.3,1.382934708,1369.800788,51.17569557,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,72.7,6.7,0.516110519,614.5953399,23.5659852,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,104.9,6.3,0.99199689,1045.513353,39.40411619,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,91.2,7.3,0.773035062,853.6078933,32.38374864,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,139.5,6.7,1.648616448,1580.206808,58.76346492,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,80.4,5.2,0.617525178,711.1184003,27.1383436,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,110.5,6.8,1.088328419,1127.347594,42.3846177,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,107.3,8.3,1.032802059,1080.351051,40.67383914,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,71.3,5.9,0.498533025,597.520253,22.93220827,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,81.1,5.4,0.62713863,720.1071438,27.47018563,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,154,4.3,1.966302426,1823.658126,67.50227457,
Dredge,Point Judith Pond S,2,2/6/19,4/14/19,68,27,2.4,0.088344317,146.3093213,5.877414957,
Sled,Point Judith Pond N,1,12/12/18,4/14/19,124,15.5,1.8,0.032859388,65.46610945,2.699351232,
Sled ,Point Judith Pond N,1,12/12/18,4/14/19,124,110.8,7,1.09359935,1131.78521,42.54603574,
Sled,Point Judith Pond N,1,12/12/18,4/14/19,124,63.5,5.6,0.40553764,505.1786983,19.49409685,
Sled,Point Judith Pond N,1,12/12/18,4/14/19,124,83.8,7.3,0.664827892,755.1035023,28.7608999,
Sled,Point Judith Pond N,1,12/12/18,4/14/19,124,57.1,4,0.335593805,433.1034293,16.79647625,
Sled,Point Judith Pond N,1,12/12/18,4/14/19,124,77.3,6.3,0.575737143,671.735017,25.68277854,
Sled,Point Judith Pond N,1,12/12/18,4/14/19,124,40,4.7,0.17797512,258.5894658,10.19770547,
